wh,lat,lon
assure_nelmangala,17.8647,77.8229
assure_delhi,28.5392,77.1087
assure_kolkata,22.5514,88.1668
assure_mumbai,17.8618,76.6789
rubicon_attibele,12.7781,77.7726
assure_blr_dhl,12.7781,77.7726
assure_gurgaon,30.873,77.078
assure_sfast,12.7781,77.7726
assure_kol_new,22.5514,88.1668
