areaCodePrefix,cluster1,cluster2,cluster3,cluster4,cluster5
143601,6,1,5,8,2
587116,9,2,4,0,5
362245,2,5,9,4,1
688007,0,9,4,2,5
522509,4,9,0,2,8
456661,5,1,2,8,6
382315,1,8,5,2,6
148033,6,6,5,5,1
734102,7,3,8,1,6
585321,4,9,2,0,8
847305,3,8,7,1,6
313901,2,5,4,1,8
328023,6,1,5,8,2
203405,1,8,6,5,3
212203,5,1,6,2,8
638702,0,0,9,9,4
532211,4,4,3,3,8
835301,8,3,1,4,2
835227,8,3,1,4,2
391250,5,1,2,6,8
787058,7,3,8,1,4
802123,1,8,5,6,2
638101,0,9,4,2,8
686575,5,1,6,8,2
605106,0,9,4,2,8
517132,0,0,9,9,4
148018,6,1,5,8,2
583237,9,4,2,0,5
341028,5,1,6,2,8
416510,2,9,5,4,0
484110,8,8,1,1,3
192201,6,1,5,8,2
431501,2,4,9,5,8
209301,1,1,8,8,6
523261,4,9,0,2,8
333053,1,6,5,8,2
802218,8,3,1,7,6
312602,5,1,2,6,8
484113,8,3,1,4,2
517421,9,0,4,2,8
311601,5,1,6,2,8
261141,1,8,5,6,2
431135,2,5,4,9,8
764043,9,4,0,2,8
233224,1,6,8,5,3
683579,0,9,4,2,5
261201,1,8,5,6,2
202124,1,6,8,5,2
160059,6,1,5,8,2
515787,9,4,0,2,8
770018,3,8,4,1,7
344001,5,6,2,1,8
458441,5,1,2,6,8
670650,0,0,9,9,4
431007,2,2,9,9,4
843326,8,3,1,7,4
683565,0,9,4,2,5
581106,0,9,4,2,8
524305,9,4,0,2,8
506313,9,0,4,2,8
518511,9,4,0,2,8
636202,0,9,4,2,8
454111,5,6,1,2,8
521329,9,4,0,2,8
732201,3,3,8,8,7
713102,1,8,6,5,3
210506,1,6,8,5,3
522438,9,4,0,2,8
613104,0,9,4,2,8
344502,5,6,1,2,8
384410,5,2,1,6,8
472001,6,1,5,8,2
822114,8,3,1,7,4
481111,8,4,3,1,2
497119,8,3,1,7,6
759014,1,5,8,6,2
641671,0,9,4,2,8
531032,4,9,0,2,8
571426,9,9,0,0,4
721153,8,3,1,4,7
521327,4,9,2,0,8
412804,9,2,4,0,5
394355,2,5,9,1,4
486220,1,8,6,5,3
388255,5,1,2,8,6
521402,4,9,2,8,0
768037,3,8,4,1,2
246401,5,1,6,2,8
560047,0,9,4,2,8
532432,4,3,8,9,2
191113,6,1,5,8,2
721444,3,8,1,7,4
722160,3,8,7,1,4
173207,6,1,5,8,2
391770,5,1,2,6,8
520002,4,9,0,2,8
193101,8,1,5,3,2
143530,1,8,5,2,6
533285,4,9,0,2,8
365545,2,5,9,1,4
798601,7,3,8,1,4
413412,2,9,4,5,0
508253,4,9,2,0,8
244255,1,8,6,5,3
415506,2,9,4,5,0
250502,6,1,5,8,2
206242,1,8,6,5,2
483001,8,1,4,2,5
496100,8,1,5,3,2
403706,9,2,0,4,5
700075,3,7,8,4,1
585419,9,2,4,0,5
147102,6,1,5,8,2
799013,4,8,3,2,1
413582,2,9,4,5,0
