areaCodePrefix,cluster1,cluster2,cluster3,cluster4,cluster5
206127,2,4,1,5,0
425109,5,1,2,3,4
272002,2,4,0,1,5
784025,0,2,4,1,5
262001,2,4,0,1,5
571215,3,5,1,0,2
796581,0,1,2,5,4
524002,3,1,5,0,2
629252,3,1,5,0,2
562138,3,5,1,0,2
577213,3,5,1,0,2
680123,3,5,1,0,2
580005,1,5,3,0,2
321302,2,4,5,1,0
723129,0,1,2,5,4
492099,2,4,1,5,0
754139,0,1,5,3,2
851127,2,4,0,1,5
505505,0,1,5,3,2
631551,3,1,5,0,2
700028,0,1,2,5,4
731125,2,0,4,1,5
206255,2,4,0,1,5
422501,5,1,3,2,4
754030,0,1,5,3,2
628952,3,1,5,0,2
841209,2,4,0,1,5
842005,0,2,4,1,5
506101,1,5,3,0,2
403802,5,1,3,2,0
580026,5,1,3,2,0
272162,2,4,0,1,5
175139,4,2,0,5,1
412311,5,1,3,2,0
534450,5,1,3,2,0
795007,0,2,4,1,5
532440,1,5,3,0,2
312612,2,4,5,1,0
534425,1,5,3,0,2
132117,4,2,1,5,0
491559,1,5,0,2,4
415716,5,1,3,2,4
364760,5,1,2,4,3
274304,2,0,4,1,5
802301,0,1,5,2,4
623512,3,1,5,0,2
224149,2,4,0,1,5
624622,3,1,5,0,2
505528,1,5,3,0,2
281104,2,4,1,5,0
639114,3,1,5,0,2
133005,2,4,5,1,0
431803,5,1,3,2,4
223224,2,4,1,5,0
743371,0,1,2,5,4
673301,3,5,1,0,2
384421,2,4,5,1,3
443203,5,1,3,2,4
577131,3,5,1,0,2
385340,5,1,2,4,3
382021,5,1,2,4,3
742151,0,1,5,2,4
177205,4,2,1,5,0
782127,0,2,4,1,5
431731,5,1,3,2,4
755007,2,0,4,1,5
841407,2,4,0,1,5
533468,1,5,3,0,2
797003,0,2,4,1,5
636114,3,1,5,0,2
854318,0,2,4,1,5
230404,2,4,1,5,0
341507,2,4,5,1,0
581333,5,1,3,2,0
276129,2,4,1,5,0
577526,3,1,5,0,2
271609,2,0,4,1,5
695043,3,5,1,0,2
306704,2,4,5,1,3
523185,3,1,5,0,2
767061,2,1,4,5,0
825106,0,2,4,1,5
465113,5,1,2,4,3
263127,4,2,0,1,5
306901,2,4,5,1,3
174308,4,2,5,1,0
638703,3,1,5,0,2
676553,3,5,1,0,2
581116,3,5,1,2,0
209864,2,4,0,1,5
193103,2,1,5,0,4
721653,0,1,5,3,2
391140,2,5,1,4,3
758028,0,1,5,2,4
425419,5,1,3,2,4
323024,2,4,5,1,0
629810,3,1,5,0,2
276304,2,4,0,1,5
735121,4,2,0,1,5
607802,3,1,5,0,2
314022,2,4,5,1,0
123110,2,4,5,1,0
621708,3,1,5,0,2
250626,2,4,1,5,0
211012,2,4,1,5,0
410504,5,1,3,2,4
585218,1,5,3,0,2
402111,5,1,3,2,4
721453,0,2,4,1,5
522437,1,5,3,0,2
311802,2,4,5,1,0
591131,3,5,1,0,2
835219,0,1,2,5,4
630554,3,1,5,0,2
341029,2,4,5,1,0
476229,2,4,1,5,0
500007,1,5,3,0,2
396385,4,2,5,1,0
144039,4,2,5,1,0
