clusterName,locationName
1,assure_nelmangala
2,assure_delhi
0,assure_kolkata
5,assure_mumbai
3,rubicon_attibele
3,assure_blr_dhl
4,assure_gurgaon
3,assure_sfast
0,assure_kol_new
